spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma100,0,96,4,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma101,0,96,4,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma102,0,96,4,0.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma103,0,96,4,0.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma104,0,96,4,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma105,0,96,2,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma106,0,96,4,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma107,0,96,4,0.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma108,0,96,4,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadus macrocephalus,Pacific cod,Canino et al. 2005 Mol Ecol Notes 5:908-910,1,USA,"Eastern Kodiak Island, AK",57.868132,,,-151.641901,,,2003,1,Gma109,0,96,4,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,Canada,"Bridgewater, Nova Scotia",44,22,0,-64,31,0,,1,FhATG-2,0,17,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,Canada,"Bridgewater, Nova Scotia",44,22,0,-64,31,0,,1,FhATG-4,0,17,3,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,Canada,"Bridgewater, Nova Scotia",44,22,0,-64,31,0,,1,FhATG-6,0,17,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,Canada,"Bridgewater, Nova Scotia",44,22,0,-64,31,0,,1,FhATG-17,0,17,3,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,Canada,"Bridgewater, Nova Scotia",44,22,0,-64,31,0,,1,FhATG-18,0,17,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,Canada,"Bridgewater, Nova Scotia",44,22,0,-64,31,0,,1,FhATG-20,0,17,3,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,Canada,"Bridgewater, Nova Scotia",44,22,0,-64,31,0,,1,FhATG-B101,0,17,3,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,Canada,"Bridgewater, Nova Scotia",44,22,0,-64,31,0,,1,FhATG-B128,0,17,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Chiwonki, ME",43,57,18,-69,43,12,,1,FhATG-2,0,50,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Chiwonki, ME",43,57,18,-69,43,12,,1,FhATG-4,0,50,3,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Chiwonki, ME",43,57,18,-69,43,12,,1,FhATG-6,0,50,3,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Chiwonki, ME",43,57,18,-69,43,12,,1,FhATG-17,0,50,3,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Chiwonki, ME",43,57,18,-69,43,12,,1,FhATG-18,0,50,3,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
