spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb3,0,48,2,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb11,0,46,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb28,0,48,2,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb46,0,45,2,0.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb55,0,48,2,0.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb63,0,48,2,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb130,0,48,2,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb132,0,48,2,0.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Cabo de Gata,36.15,,,-2.242486,,,2004,1,Mb133,0,48,2,0.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mullus barbatus,Red mullet,Galarza et al. 2009 CJFAS 66:1478-1490,0,Spain,Blanes,40.8,,,2.804162,,,2004,1,Mb3,0,37,2,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
