spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarker,MarkerName,CrossSpp,n,Repeat,He,Hese,Notes
Paralichthys olivaceus,Bastard halibut,XU Dongdong et al. (2012) Chinese Journal of Oceanology and Limnology 30(4): 604-610 ,0,China,Qingdao,36,9,,120,38,,,1,Po13,0,50,1,0.824,,
Paralichthys olivaceus,Bastard halibut,XU Dongdong et al. (2012) Chinese Journal of Oceanology and Limnology 30(4): 604-610 ,0,China,Zhoushan,30,8,,122,30,,,1,Po13,0,50,1,0.888,,
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,North Sea,NS1,55.3,,,2.897,,,2007,14,,0,183,2,0.736,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,UK,NS2,55.2669,,,-1.2543,,,2008,14,,0,95,2,0.74,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,UK,NS3,54.2453,,,0.4985,,,2008,14,,0,94,2,0.736,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,UK,NS4,53.5567,,,2.082,,,2008,14,,0,100,2,0.735,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,UK,EC1,50.779,,,0.7305,,,2007,14,,0,178,2,0.734,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,UK,EC2,50.6143,,,-2.9303,,,2006,14,,0,77,2,0.726,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,North Atlantic Ocean near Ireland,IS1,51.3231,,,-7.4641,,,2006,14,,0,94,2,0.773,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
Limanda limanda,Common dab,Niklas Tysklind et al. (2013) Evol Appl 6: 891-909,0,UK,IS2,52.1816,,,-4.4978,,,2006,14,,0,99,2,0.732,,The He data comes from the avg of all loci together at the specific location. Avgs of crossSpp and repeats of loci in paper have been recorded. Country/Sea basin name found from plugging the paper’s coordinates into Google maps.
