spp,CommonName,Source,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise,Notes
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Kuala Selangor,3,19,56,101,15,5,2010-2011,Cyt b,14,1140,1,,0.011,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Tawau,4,14,37,117,53,4,2010-2011,Cyt b,7,1140,0.952,,0.011,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Kuala Perlis,6,24,1,100,7,51,2010-2011,Cyt b,16,1140,0.992,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Tanjung Dawai,5,40,48,100,22,18,2010-2011,Cyt b,12,1140,1,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Bagan Panchor,4,31,43,100,38,2,2010-2011,Cyt b,15,1140,1,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Maukah,2,53,49,112,5,44,2010-2011,Cyt b,15,1140,0.981,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Bintulu,3,11,41,113,5,23,2010-2011,Cyt b,17,1140,1,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Kota Kinabalu,5,58,58,116,4,18,2010-2011,Cyt b,16,1140,0.991,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Vietnam,aCan Tho,10,2,25,105,47,0,2010-2011,Cyt b,21,1140,0.981,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Kudat,6,52,46,116,50,45,2010-2011,Cyt b,15,1140,0.991,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Indonesia,Banda Aceh,5,31,43,95,24,6,2010-2011,Cyt b,9,1140,0.972,,0.01,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Teluk Bahang,5,27,37,100,12,25,2010-2011,Cyt b,19,1140,0.977,,0.009,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Tok Bali,5,53,24,102,28,24,2010-2011,Cyt b,15,1140,1,,0.009,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Pulau Kambing,5,19,32,103,7,53,2010-2011,Cyt b,12,1140,0.985,,0.009,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Kuantan,3,47,55,103,19,24,2010-2011,Cyt b,15,1140,0.991,,0.009,,
Rastrelliger kanagurta,Indian mackerel,Akib et al. 2015 PLoS ONE 10:e0119749,Malaysia,Endau,2,29,18,103,37,23,2010-2011,Cyt b,15,1140,0.971,,0.009,,
