,spp,fbsci,Country,Site,stockid,CommonName,Source,PrimerNote,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,file,lat,lon
1,Brevoortia patronus,Brevoortia patronus,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",MENATGM,Gulf menhaden,Lynch et al. 2010 Fish Bull,NA,2006-2007,1,Asa2,1,49,3,0.641,NA,ppdat,29.64032,-93.906555
2,Brevoortia patronus,Brevoortia patronus,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",MENATGM,Gulf menhaden,Lynch et al. 2010 Fish Bull,NA,2006-2007,1,Asa4,1,44,3,0.79,NA,ppdat,29.64032,-93.906555
3,Brevoortia patronus,Brevoortia patronus,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",MENATGM,Gulf menhaden,Lynch et al. 2010 Fish Bull,NA,2006-2007,1,AsaB020,1,49,3,0.939,NA,ppdat,29.64032,-93.906555
4,Brevoortia patronus,Brevoortia patronus,USA,"Galveston, TX",MENATGM,Gulf menhaden,Anderson & Karel 2007 J Fish Bio,NA,,5,,1,20,NA,0.66,NA,ppdat,29.292687,-94.77396
5,Brevoortia patronus,Brevoortia patronus,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",MENATGM,Gulf menhaden,Anderson & McDonald 2007 J Fish Bio,NA,"2004, 2005",1,AF039658,1,60,3,0.883,NA,ppdat,28.516969,-95.892334
6,Brevoortia patronus,Brevoortia patronus,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",MENATGM,Gulf menhaden,Lynch et al. 2010 Fish Bull,NA,2006-2007,1,Asa16,1,45,3,0.812,NA,ppdat,29.64032,-93.906555
7,Brevoortia patronus,Brevoortia patronus,USA,Northern Gulf of Mexico,MENATGM,Gulf menhaden,Anderson 2007 Fish Bull,NA,2002-2004,4,AF49462,1,39,NA,0.67,NA,ppdat,29.506549,-92.550659
8,Brevoortia patronus,Brevoortia patronus,USA,"Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)",MENATGM,Gulf menhaden,Anderson & McDonald 2007 J Fish Bio,NA,"2004, 2005",1,AF039657,1,60,3,0.736,NA,ppdat,28.516969,-95.892334
9,Brevoortia patronus,Brevoortia patronus,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",MENATGM,Gulf menhaden,Lynch et al. 2010 Fish Bull,NA,2006-2007,1,AsaD055,1,45,4,0.912,NA,ppdat,29.64032,-93.906555
10,Brevoortia patronus,Brevoortia patronus,USA,"Gulf of Mexico (Galveston, TX and Cameron, LA)",MENATGM,Gulf menhaden,Lynch et al. 2010 Fish Bull,NA,2006-2007,1,SarBH04,1,44,2,0.442,NA,ppdat,29.64032,-93.906555
