"spp","fbsci"
"Abudefduf saxatilis","Abudefduf saxatilis"
"Acanthochromis polyacanthus","Acanthochromis polyacanthus"
"Acanthopagrus australis","Acanthopagrus australis"
"Acanthopagrus berda","Acanthopagrus berda"
"Acanthopagrus latus","Acanthopagrus latus"
"Acanthopagrus schlegelii","Acanthopagrus schlegelii"
"Acanthopagrus taiwanensis","Acanthopagrus taiwanensis"
"Acanthurus leucosternon","Acanthurus leucosternon"
"Acanthurus nigricans","Acanthurus nigricans"
"Acanthurus triostegus","Acanthurus triostegus"
"Aetobatus narinari","Aetobatus narinari"
"Ammodytes personatus","Ammodytes personatus"
"Amphiprion akallopisos","Amphiprion akallopisos"
"Amphiprion clarkii","Amphiprion clarkii"
"Amphiprion frenatus","Amphiprion frenatus"
"Amphiprion latezonatus","Amphiprion latezonatus"
"Amphiprion mccullochi","Amphiprion mccullochi"
"Amphiprion melanopus","Amphiprion melanopus"
"Amphiprion ocellaris","Amphiprion ocellaris"
"Amphiprion percula","Amphiprion percula"
"Amphiprion perideraion","Amphiprion perideraion"
"Amphiprion polymnus","Amphiprion polymnus"
"Anarhichas lupus","Anarhichas lupus"
"Anoplopoma fimbria","Anoplopoma fimbria"
"Antimora rostrata","Antimora rostrata"
"Aphanopus carbo","Aphanopus carbo"
"Aphanopus intermedius","Aphanopus intermedius"
"Aphia minuta","Aphia minuta"
"Apogon imberbis","Apogon imberbis"
"Argyrosomus coronus","Argyrosomus coronus"
"Argyrosomus inodorus","Argyrosomus inodorus"
"Argyrosomus japonicus","Argyrosomus japonicus"
"Argyrosomus regius","Argyrosomus regius"
"Atractoscion aequidens","Atractoscion aequidens"
"Boreogadus saida","Boreogadus saida"
"Brevoortia gunteri","Brevoortia gunteri"
"Brevoortia patronus","Brevoortia patronus"
"Brevoortia smithi","Brevoortia smithi"
"Brevoortia tyrannus","Brevoortia tyrannus"
"Brosme brosme","Brosme brosme"
"Carcharhinus albimarginatus","Carcharhinus albimarginatus"
"Carcharhinus amblyrhynchos","Carcharhinus amblyrhynchos"
"Carcharhinus isodon","Carcharhinus isodon"
"Carcharhinus leucas","Carcharhinus leucas"
"Carcharhinus limbatus","Carcharhinus limbatus"
"Carcharhinus signatus","Carcharhinus signatus"
"Carcharhinus sorrah","Carcharhinus sorrah"
"Carcharias taurus","Carcharias taurus"
"Carcharodon carcharias","Carcharodon carcharias"
"Centroscymnus crepidater","Centroscymnus crepidater"
"Cephalopholis fulva","Cephalopholis fulva"
"Chaenocephalus aceratus","Chaenocephalus aceratus"
"Chaetodon lunulatus","Chaetodon lunulatus"
"Chaetodon multicinctus","Chaetodon multicinctus"
"Chaetodon tricinctus","Chaetodon tricinctus"
"Chaetodon trifascialis","Chaetodon trifascialis"
"Chaetodon trifasciatus","Chaetodon trifasciatus"
"Champsocephalus gunnari","Champsocephalus gunnari"
"Cheilinus undulatus","Cheilinus undulatus"
"Cheilodipterus artus","Cheilodipterus artus"
"Chionodraco rastrospinosus","Chionodraco rastrospinosus"
"Chromis margaritifer","Chromis margaritifer"
"Chrysoblephus laticeps","Chrysoblephus laticeps"
"Chrysoblephus puniceus","Chrysoblephus puniceus"
"Clupea harengus","Clupea harengus"
"Clupea pallasii pallasii","Clupea pallasii pallasii"
"Coris bulbifrons","Coris bulbifrons"
"Coris julis","Coris julis"
"Coryphaena hippurus","Coryphaena hippurus"
"Coryphaenoides armatus","Coryphaenoides armatus"
"Coryphaenoides brevibarbis","Coryphaenoides brevibarbis"
"Coryphaenoides mediterraneus","Coryphaenoides mediterraneus"
"Ctenolabrus rupestris","Ctenolabrus rupestris"
"Cyclopterus lumpus","Cyclopterus lumpus"
"Cymatogaster aggregata","Cymatogaster aggregata"
"Cynoglossus semilaevis","Cynoglossus semilaevis"
"Cynoscion arenarius","Cynoscion arenarius"
"Cynoscion nebulosus","Cynoscion nebulosus"
"Cynoscion nothus","Cynoscion nothus"
"Dascyllus aruanus","Dascyllus aruanus"
"Dascyllus strasburgi","Dascyllus strasburgi"
"Dascyllus trimaculatus","Dascyllus trimaculatus"
"Dentex dentex","Dentex dentex"
"Dicentrarchus labrax","Dicentrarchus labrax"
"Diplodus hottentotus","Diplodus hottentotus"
"Diplodus sargus","Diplodus sargus"
"Diplodus vulgaris","Diplodus vulgaris"
"Dipturus trachyderma","Dipturus trachyderma"
"Dissostichus eleginoides","Dissostichus eleginoides"
"Electrona antarctica","Electrona antarctica"
"Eleginops maclovinus","Eleginops maclovinus"
"Elops saurus","Elops saurus"
"Embiotoca jacksoni","Embiotoca jacksoni"
"Engraulis australis","Engraulis australis"
"Engraulis capensis","Engraulis capensis"
"Engraulis encrasicolus","Engraulis encrasicolus"
"Engraulis eurystole","Engraulis eurystole"
"Engraulis japonicus","Engraulis japonicus"
"Epinephelus akaara","Epinephelus akaara"
"Epinephelus awoara","Epinephelus awoara"
"Epinephelus bleekeri","Epinephelus bleekeri"
"Epinephelus bruneus","Epinephelus bruneus"
"Epinephelus coioides","Epinephelus coioides"
"Epinephelus guttatus","Epinephelus guttatus"
"Epinephelus lanceolatus","Epinephelus lanceolatus"
"Epinephelus maculatus","Epinephelus maculatus"
"Epinephelus malabaricus","Epinephelus malabaricus"
"Epinephelus marginatus","Epinephelus marginatus"
"Epinephelus merra","Epinephelus merra"
"Epinephelus morio","Epinephelus morio"
"Epinephelus ongus","Epinephelus ongus"
"Epinephelus polyphekadion","Epinephelus polyphekadion"
"Epinephelus striatus","Epinephelus striatus"
"Etmopterus molleri","Etmopterus molleri"
"Etmopterus spinax","Etmopterus spinax"
"Eucyclogobius newberryi","Eucyclogobius newberryi"
"Forsterygion capito","Forsterygion capito"
"Forsterygion lapillum","Forsterygion lapillum"
"Gadus chalcogrammus","Gadus chalcogrammus"
"Gadus macrocephalus","Gadus macrocephalus"
"Gadus morhua","Gadus morhua"
"Galeorhinus galeus","Galeorhinus galeus"
"Genypterus capensis","Genypterus capensis"
"Ginglymostoma cirratum","Ginglymostoma cirratum"
"Girella laevifrons","Girella laevifrons"
"Girella punctata","Girella punctata"
"Glaucosoma hebraicum","Glaucosoma hebraicum"
"Gnatholepis anjerensis","Gnatholepis anjerensis"
"Gnatholepis cauerensis","Gnatholepis cauerensis"
"Gobionotothen gibberifrons","Gobionotothen gibberifrons"
"Gymnosarda unicolor","Gymnosarda unicolor"
"Gymnothorax chilospilus","Gymnothorax chilospilus"
"Haemulon flavolineatum","Haemulon flavolineatum"
"Haemulon plumierii","Haemulon plumierii"
"Hapalogenys nigripinnis","Hapalogenys nigripinnis"
"Helicolenus dactylopterus","Helicolenus dactylopterus"
"Hexanchus griseus","Hexanchus griseus"
"Hippocampus angustus","Hippocampus angustus"
"Hippocampus guttulatus","Hippocampus guttulatus"
"Hippocampus hippocampus","Hippocampus hippocampus"
"Hippoglossus hippoglossus","Hippoglossus hippoglossus"
"Hippoglossus stenolepis","Hippoglossus stenolepis"
"Hoplostethus atlanticus","Hoplostethus atlanticus"
"Hypoplectrus nigricans","Hypoplectrus nigricans"
"Hypoplectrus puella","Hypoplectrus puella"
"Hyporthodus acanthistius","Hyporthodus acanthistius"
"Hyporthodus septemfasciatus","Hyporthodus septemfasciatus"
"Kajikia albida","Kajikia albida"
"Kareius bicoloratus","Kareius bicoloratus"
"Katsuwonus pelamis","Katsuwonus pelamis"
"Larimichthys crocea","Larimichthys crocea"
"Larimichthys polyactis","Larimichthys polyactis"
"Lepadogaster lepadogaster","Lepadogaster lepadogaster"
"Lepidonotothen squamifrons","Lepidonotothen squamifrons"
"Lepidorhombus boscii","Lepidorhombus boscii"
"Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis"
"Lethrinus harak","Lethrinus harak"
"Lethrinus laticaudis","Lethrinus laticaudis"
"Lethrinus mahsena","Lethrinus mahsena"
"Lethrinus miniatus","Lethrinus miniatus"
"Lethrinus nebulosus","Lethrinus nebulosus"
"Limanda limanda","Limanda limanda"
"Limanda punctatissima","Limanda punctatissima"
"Lithognathus mormyrus","Lithognathus mormyrus"
"Lophius budegassa","Lophius budegassa"
"Lophius piscatorius","Lophius piscatorius"
"Lutjanus analis","Lutjanus analis"
"Lutjanus campechanus","Lutjanus campechanus"
"Lutjanus carponotatus","Lutjanus carponotatus"
"Lutjanus peru","Lutjanus peru"
"Lutjanus russellii","Lutjanus russellii"
"Lutjanus synagris","Lutjanus synagris"
"Macrourus berglax","Macrourus berglax"
"Macruronus magellanicus","Macruronus magellanicus"
"Makaira nigricans","Makaira nigricans"
"Megalaspis cordyla","Megalaspis cordyla"
"Melanogrammus aeglefinus","Melanogrammus aeglefinus"
"Menidia menidia","Menidia menidia"
"Merlangius merlangus","Merlangius merlangus"
"Merluccius bilinearis","Merluccius bilinearis"
"Merluccius hubbsi","Merluccius hubbsi"
"Merluccius merluccius","Merluccius merluccius"
"Merluccius productus","Merluccius productus"
"Microchirus azevia","Microchirus azevia"
"Micromesistius poutassou","Micromesistius poutassou"
"Micropogonias furnieri","Micropogonias furnieri"
"Miichthys miiuy","Miichthys miiuy"
"Molva molva","Molva molva"
"Mulloidichthys flavolineatus","Mulloidichthys flavolineatus"
"Mullus barbatus barbatus","Mullus barbatus barbatus"
"Mullus surmuletus","Mullus surmuletus"
"Mustelus mustelus","Mustelus mustelus"
"Mustelus palumbes","Mustelus palumbes"
"Mycteroperca microlepis","Mycteroperca microlepis"
"Mycteroperca phenax","Mycteroperca phenax"
"Naso unicornis","Naso unicornis"
"Nemadactylus macropterus","Nemadactylus macropterus"
"Neopomacentrus filamentosus","Neopomacentrus filamentosus"
"Nibea albiflora","Nibea albiflora"
"Notothenia rossii","Notothenia rossii"
"Nototheniops larseni","Nototheniops larseni"
"Oblada melanura","Oblada melanura"
"Ocyurus chrysurus","Ocyurus chrysurus"
"Ophiodon elongatus","Ophiodon elongatus"
"Ostorhinchus doederleini","Ostorhinchus doederleini"
"Pagellus bogaraveo","Pagellus bogaraveo"
"Pagothenia borchgrevinki","Pagothenia borchgrevinki"
"Pagrus auratus","Pagrus auratus"
"Pagrus auriga","Pagrus auriga"
"Pagrus major","Pagrus major"
"Pagrus pagrus","Pagrus pagrus"
"Pampus argenteus","Pampus argenteus"
"Pampus chinensis","Pampus chinensis"
"Paracentropogon rubripinnis","Paracentropogon rubripinnis"
"Paralabrax albomaculatus","Paralabrax albomaculatus"
"Paralabrax clathratus","Paralabrax clathratus"
"Paralabrax nebulifer","Paralabrax nebulifer"
"Paralichthys olivaceus","Paralichthys olivaceus"
"Parapristipoma trilineatum","Parapristipoma trilineatum"
"Planiliza affinis","Planiliza affinis"
"Plectropomus areolatus","Plectropomus areolatus"
"Plectropomus leopardus","Plectropomus leopardus"
"Pleuragramma antarctica","Pleuragramma antarctica"
"Pleurogrammus monopterygius","Pleurogrammus monopterygius"
"Pleuronectes platessa","Pleuronectes platessa"
"Polyprion americanus","Polyprion americanus"
"Polyprion oxygeneios","Polyprion oxygeneios"
"Pomacentrus amboinensis","Pomacentrus amboinensis"
"Pomacentrus coelestis","Pomacentrus coelestis"
"Pomatomus saltatrix","Pomatomus saltatrix"
"Pomatoschistus marmoratus","Pomatoschistus marmoratus"
"Pristipomoides filamentosus","Pristipomoides filamentosus"
"Pristipomoides zonatus","Pristipomoides zonatus"
"Protonibea diacanthus","Protonibea diacanthus"
"Pseudopleuronectes americanus","Pseudopleuronectes americanus"
"Pseudopleuronectes herzensteini","Pseudopleuronectes herzensteini"
"Pseudopleuronectes yokohamae","Pseudopleuronectes yokohamae"
"Pterapogon kauderni","Pterapogon kauderni"
"Pterogobius elapoides","Pterogobius elapoides"
"Pterogobius zonoleucus","Pterogobius zonoleucus"
"Rachycentron canadum","Rachycentron canadum"
"Raja clavata","Raja clavata"
"Rhincodon typus","Rhincodon typus"
"Rhomboplites aurorubens","Rhomboplites aurorubens"
"Sarda sarda","Sarda sarda"
"Sardina pilchardus","Sardina pilchardus"
"Sardinella longiceps","Sardinella longiceps"
"Scartella cristata","Scartella cristata"
"Sciaenops ocellatus","Sciaenops ocellatus"
"Scomber australasicus","Scomber australasicus"
"Scomber japonicus","Scomber japonicus"
"Scomber scombrus","Scomber scombrus"
"Scomberomorus brasiliensis","Scomberomorus brasiliensis"
"Scomberomorus commerson","Scomberomorus commerson"
"Scomberomorus concolor","Scomberomorus concolor"
"Scomberomorus niphonius","Scomberomorus niphonius"
"Scophthalmus maximus","Scophthalmus maximus"
"Scophthalmus rhombus","Scophthalmus rhombus"
"Scorpaena porcus","Scorpaena porcus"
"Scyliorhinus canicula","Scyliorhinus canicula"
"Sebastes alutus","Sebastes alutus"
"Sebastes atrovirens","Sebastes atrovirens"
"Sebastes auriculatus","Sebastes auriculatus"
"Sebastes borealis","Sebastes borealis"
"Sebastes caurinus","Sebastes caurinus"
"Sebastes crameri","Sebastes crameri"
"Sebastes fasciatus","Sebastes fasciatus"
"Sebastes flavidus","Sebastes flavidus"
"Sebastes inermis","Sebastes inermis"
"Sebastes macdonaldi","Sebastes macdonaldi"
"Sebastes melanops","Sebastes melanops"
"Sebastes mentella","Sebastes mentella"
"Sebastes mystinus","Sebastes mystinus"
"Sebastes norvegicus","Sebastes norvegicus"
"Sebastes paucispinis","Sebastes paucispinis"
"Sebastes pinniger","Sebastes pinniger"
"Sebastes polyspinis","Sebastes polyspinis"
"Sebastes rastrelliger","Sebastes rastrelliger"
"Sebastes ruberrimus","Sebastes ruberrimus"
"Sebastes schlegelii","Sebastes schlegelii"
"Sebastes thompsoni","Sebastes thompsoni"
"Sebastes viviparus","Sebastes viviparus"
"Sebastiscus marmoratus","Sebastiscus marmoratus"
"Semicossyphus darwini","Semicossyphus darwini"
"Semicossyphus pulcher","Semicossyphus pulcher"
"Seriola dumerili","Seriola dumerili"
"Seriola lalandi","Seriola lalandi"
"Serranus cabrilla","Serranus cabrilla"
"Siganus fuscescens","Siganus fuscescens"
"Siganus spinus","Siganus spinus"
