"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength"
"1","Abudefduf saxatilis","Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","AntÛn Lizardo",19.0992222222222,-95.9416944444445,NA,"","cytb, control region",18,"1250",0.99,0.0047,0.008,9e-04,"mtdna102",22.9
"2","Abudefduf saxatilis","Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Contoy Island",21.4720555555556,-86.7888611111111,NA,"","cytb, control region",13,"1250",0.99,0.0111,0.007,0.0011,"mtdna102",22.9
"3","Abudefduf saxatilis","Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Cozumel Island",20.4406944444444,-87.0022777777778,NA,"","cytb, control region",17,"1250",1,0.0049,0.006,7e-04,"mtdna102",22.9
"4","Abudefduf saxatilis","Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Lobos Island",21.4887222222222,-97.2270833333333,NA,"","cytb, control region",27,"1250",0.98,0.0192,0.009,0.001,"mtdna102",22.9
"5","Abudefduf saxatilis","Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Tuxpan",21.0270277777778,-97.1991388888889,NA,"","cytb, control region",16,"1250",0.99,0.0075,0.005,8e-04,"mtdna102",22.9
"6","Abudefduf saxatilis","Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Veracruz",19.1995833333333,-96.0694444444444,NA,"","cytb, control region",12,"1250",1,0.0087,0.007,0.0012,"mtdna102",22.9
"7","Abudefduf saxatilis","Seargeant-major","PiÒeros et al. 2015 Evol. Biol. 42:235-249","Mexico","Xcalak",18.3259722222222,-87.8156111111111,NA,"","cytb, control region",15,"1250",1,0.0052,0.007,0.001,"mtdna102",22.9
"8","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","","Caribbean Sea off the Cayman Islands",19.303,-75,NA,"2001","control region",23,"890",1,NA,0.052,NA,"mtdna101",250
"9","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","Bahamas","Bimini, Bahamas",25.739,-79.0347222222222,NA,"1997/1998","control region",40,"890",1,NA,0.05,NA,"mtdna101",250
"10","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Atlantic Ocean off North Carolina",34.8,-70,NA,"2000/2001","control region",23,"890",1,NA,0.053,NA,"mtdna101",250
"11","Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","East Central Florida",28.304,-75,NA,"2001","control region",30,"890",1,NA,0.055,NA,"mtdna101",250
