spp,CommonName,Genus,Family,IUCN_status,Pelagic_Coastal,Northernmost,Southernmost,Westernmost,Easternmost,Range_Total,Half_RangeSize,Centroid
Abudefduf saxatilis,Sergeant-major,Abudefduf,Pomacentridae,least_concern,Coastal,41,-37,-89,14,78,39,2
Acanthochromis polyacanthus,Spiny chromis,Acanthochromis,Pomacentridae,least_concern,Coastal,15,-26,116,169,41,20.5,-5.5
Acanthocybium solandri,Wahoo,Acanthocybium,Scombridae,least_concern,Pelagic,59,-48,-180,180,107,53.5,5.5
Acanthopagrus australis,Yellowfin bream,Acanthopagrus,Sparidae,least_concern,Coastal,-19,-38,#VALUE!,NA,19,9.5,-28.5
Acanthopagrus berda,Goldsilk seabream,Acanthopagrus,Sparidae,least_concern,Coastal,30,-35,22,103,65,32.5,-2.5
Acanthopagrus latus,Yellowfin seabream,Acanthopagrus,Sparidae,data_deficient,Coastal,34,15,105,137,19,9.5,24.5
Acanthopagrus schlegelii,Blackhead seabream,Acanthopagrus,Sparidae,least_concern,Coastal,43,20,-143,-107,23,11.5,31.5
Acanthopagrus taiwanensis,Taiwan picnic seabream,Acanthopagrus,Sparidae,data_deficient,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Acanthurus leucosternon,Powder blue tang,Acanthopagrus,Sparidae,least_concern,Coastal,26,-30,31,129,56,28,-2
Acanthurus nigricans,Whitecheek surgeonfish,Acanthurus,Acanthuridae,least_concern,Coastal,30,-24,#VALUE!,NA,54,27,3
Acanthurus nigrofuscus,Brown Surgeonfish,Acanthurus,Acanthuridae,least_concern,Coastal,31,-34,3,-123,65,32.5,-1.5
Acanthurus nigroris,Bluelined surgeonfish,Acanthurus,Acanthuridae,least_concern,Coastal,28,-24,54,-139,52,26,2
Acanthurus triostegus,Convict surgeonfish,Acanthurus,Acanthuridae,least_concern,Coastal,26,-36,25,-85,62,31,-5
Aetobatus narinari,Whitespotted eagle ray,Aetobatus,Myliobatidae,endangered,Coastal,43,-32,-115,-154,75,37.5,5.5
Alopias vulpinus,Thresher,Alopias,Alopiidae,vulnerable,Pelagic,74,-58,-180,180,132,66,8
Amblyraja radiata,Starry ray,Amblyraja,Rajidae,vulnerable,Coastal,72,33,-78,41,39,19.5,52.5
Ammodytes personatus,Pacific sandlance,Ammodytes,Ammodytidae,not_evaluated,Coastal,54,30,118,-118,24,12,42
Amphiprion akallopisos,Skunk clownfish,Amphiprion,Pomacentridae,least_concern,Coastal,23,-35,#VALUE!,NA,58,29,-6
Amphiprion clarkii,Yellowtail clownfish,Amphiprion,Pomacentridae,endangered,Coastal,30,-30,47,-172,60,30,0
Amphiprion frenatus,Tomato clownfish,Amphiprion,Pomacentridae,least_concern,Coastal,30,-20,91,143,50,25,5
Amphiprion latezonatus,Wide-band anemonefish,Amphiprion,Pomacentridae,not_evaluated,Coastal,-25,-32,#VALUE!,NA,7,3.5,-28.5
Amphiprion mccullochi,Whitesnout anemonefish,Amphiprion,Pomacentridae,not_evaluated,Coastal,-31,-32,#VALUE!,NA,1,0.5,-31.5
Amphiprion melanopus,Fire clownfish,Amphiprion,Pomacentridae,least_concern,Coastal,-10,-30,#VALUE!,NA,20,10,-20
Amphiprion ocellaris,Clown anemonefish,Amphiprion,Pomacentridae,not_evaluated,Coastal,46,-17,92,147,63,31.5,14.5
Amphiprion percula,Orange clownfish,Amphiprion,Pomacentridae,least_concern,Coastal,-6,-26,141,155,20,10,-16
Amphiprion perideraion,Pink anemonefish,Amphiprion,Pomacentridae,least_concern,Coastal,34,-22,96,156,56,28,6
Amphiprion polymnus,Saddleback clownfish,Amphiprion,Pomacentridae,least_concern,Coastal,36,-33,91,164,69,34.5,1.5
Anarhichas lupus,Atlantic wolffish,Anarhichas,Anarhichadidae,data_deficient,Coastal,79,37,-75,56,42,21,58
Anoplopoma fimbria,Sablefish,Anoplopoma,Anoplopomatidae,not_evaluated,Pelagic,64,23,141,-109,41,20.5,43.5
Antimora rostrata,Blue antimora,Antimora,Moridae,least_concern,Pelagic,62,-62,-180,180,124,62,0
Aphanopus carbo,Black scabbardfish,Aphanopus,Trichiuridae,least_concern,Pelagic,71,-23,-82,17,94,47,24
Aphanopus intermedius,Intermediate scabbardfish,Aphanopus,Trichiuridae,least_concern,Pelagic,50,-35,-105,-14,85,42.5,7.5
Aphia minuta,Transparent goby,Aphia,Gobiidae,least_concern,Coastal,70,25,-13,42,45,22.5,47.5
Apogon imberbis,Cardinal fish,Apogon,Apogonidae,least_concern,Coastal,45,-5,-32,36,50,25,20
Archosargus probatocephalus,Sheepshead,Archosargus,Sparidae,least_concern,Coastal,49,-6,-100,-36,55,27.5,21.5
Argyrosomus coronus,Dusky kob,Argyrosomus,Sciaenidae,data_deficient,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Argyrosomus inodorus,Mild meagre,Argyrosomus,Sciaenidae,vulnerable,Coastal,-17,-38,11,29,21,10.5,-27.5
Argyrosomus japonicus,Japanese meagre,Argyrosomus,Sciaenidae,endangered,Coastal,40,-39,18,155,79,39.5,0.5
Argyrosomus regius,Meagre,Argyrosomus,Sciaenidae,least_concern,Coastal,65,-6,-23,36,71,35.5,29.5
Atherinella brasiliensis,Brazilian silverside,Atherinella,Atherinopsidae,data_deficient,Coastal,13,-36,-77,-34,49,24.5,-11.5
Atractoscion aequidens,Geelbeck croaker,Atractoscion,Sciaenidae,near_threatened,Coastal,14,-28,#VALUE!,NA,42,21,-7
Auxis rochei,Bullet tuna,Auxis,Scombridae,least_concern,Pelagic,61,-51,-180,180,112,56,5
Auxis thazard,Frigate tuna,Auxis,Scombridae,least_concern,Pelagic,61,-51,-180,180,112,56,5
Balistes capriscus,Grey triggerfish,Balistes,Balistidae,vulnerable,Coastal,58,-37,-98,36,95,47.5,10.5
Bathygobius cocosensis,Cocos frill-goby,Bathygobius,Gobiidae,least_concern,Coastal,32,-28,#VALUE!,NA,60,30,2
Bathytoshia centroura,Roughtail stingray,Bathytoshia,Dasyatidae,vulnerable,Coastal,45,-35,-90,36,80,40,5
Bellapiscis lesleyae,Mottled twister,Bellapiscis,Tripterygiidae,least_concern,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Bellapiscis medius,Twister,Bellapiscis,Tripterygiidae,least_concern,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Beringraja pulchra,Mottled skate,Beringraja,Rajidae,endangered,Coastal,50,28,119,150,22,11,39
Beryx decadactylus,Alfonsino,Beryx,Berycidae,least_concern,Coastal,70,-48,-180,180,118,59,11
Beryx splendens,Splendid alfonsino,Beryx,Berycidae,least_concern,Pelagic,45,-43,-180,180,88,44,1
Boreogadus saida,Polar cod,Boreogadus,Gadidae,not_evaluated,Pelagic,87,52,-180,180,35,17.5,69.5
Branchiostegus japonicus,Horsehead tilefish,Branchiostegus,Malacanthidae,least_concern,Coastal,40,15,105,144,25,12.5,27.5
Branchiostoma belcheri,,Branchiostoma,Branchiostomidae,not_evaluated,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Branchiostoma japonicum,,Branchiostoma,Branchiostomidae,not_evaluated,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Brevoortia gunteri,Finescale menhaden,Brevoortia,Clupeidae,least_concern,Coastal,30,17,-99,-88,13,6.5,23.5
Brevoortia patronus,Gulf menhaden,Brevoortia,Clupeidae,least_concern,Coastal,31,19,-95,-80,12,6,25
Brevoortia smithi,Yellowfin menhaden,Brevoortia,Clupeidae,least_concern,Coastal,37,23,-92,-74,14,7,30
Brevoortia tyrannus,Atlantic menhaden,Brevoortia,Clupeidae,least_concern,Coastal,46,30,-81,-64,16,8,38
Brosme brosme,Cusk,Brosme,Lotidae,not_evaluated,Coastal,83,37,-75,57,46,23,60
Caffrogobius caffer,Banded goby,Caffrogobius,Gobiidae,least_concern,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Carcharhinus albimarginatus,Silvertip shark,Carcharhinus,Carcharhinidae,vulnerable,Pelagic,32,-31,31,-77,63,31.5,0.5
Carcharhinus amblyrhynchos,Gray reef shark,Carcharhinus,Carcharhinidae,endangered,Coastal,29,-35,33,-151,64,32,-3
Carcharhinus galapagensis,Galapagos shark,Carcharhinus,Carcharhinidae,least_concern,Coastal,36,-34,-180,180,70,35,1
Carcharhinus isodon,Finetooth shark,Carcharhinus,Carcharhinidae,near_threatened,Coastal,42,-38,-100,-12,80,40,2
Carcharhinus leucas,Bull shark,Carcharhinus,Carcharhinidae,vulnerable,Coastal,42,-39,-180,180,81,40.5,1.5
Carcharhinus limbatus,Blacktip shark,Carcharhinus,Carcharhinidae,vulnerable,Coastal,45,-38,-180,180,83,41.5,3.5
Carcharhinus signatus,Night shark,Carcharhinus,Carcharhinidae,endangered,Coastal,39,-43,-85,15,82,41,-2
Carcharhinus sorrah,Spot-tail shark,Carcharhinus,Carcharhinidae,near_threatened,Coastal,31,-31,#VALUE!,NA,62,31,0
Carcharias taurus,Sand tiger shark,Charcharias,Odontaspididae,critically_endangered,Coastal,45,-48,-100,155,93,46.5,-1.5
Carcharodon carcharias,Great white shark,Carcharodon,Lamnidae,vulnerable,Pelagic,61,-58,-180,180,119,59.5,1.5
Centrophorus harrissoni,Dumb gulper shark,Centrophorus,Centrophoridae,endangered,Coastal,-26,-43,111,-178,17,8.5,-34.5
Centrophorus moluccensis,Smallfin gulper shark,Centrophorus,Centrophoridae,vulnerable,Coastal,32,-40,34,171,72,36,-4
Centrophorus uyato,Little gulper shark,Centrophorus,Centrophoridae,endangered,Coastal,43,-43,#VALUE!,NA,86,43,0
Centrophorus zeehaani,Southern dogfish,Centrophorus,Centrophoridae,not_evaluated,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Centropristis striata,Black seabass,Centropristis,Serranidae,least_concern,Coastal,45,25,#VALUE!,NA,20,10,35
Centroscymnus crepidater,Longnose velvet dogfish,Centroscymnus,Somniosidae,near_threatened,Coastal,64,-57,-159,-77,121,60.5,3.5
Cephalopholis argus,Peacock hind,Cephalopholis,Serranidae,least_concern,Coastal,29,-34,33,-122,63,31.5,-2.5
Cephalopholis fulva,Coney,Cephalopholis,Serranidae,least_concern,Coastal,36,-28,-98,-33,64,32,4
Cetengraulis edentulus,Atlantic anchoveta,Cetengraulis,Engraulidae,least_concern,Coastal,23,-28,-98,-32,51,25.5,-2.5
Chaenocephalus aceratus,Blackfin icefish,Chaenocephalus,Channichthyidae,not_evaluated,Coastal,-53,-65,-67,4,12,6,-59
Chaetodon austriacus,Blacktail butterflyfish,Chaetodon,Chaetodontidae,least_concern,Coastal,30,10,#VALUE!,NA,20,10,20
Chaetodon lunulatus,Oval butterflyfish,Chaetodon,Chaetodontidae,least_concern,Coastal,37,-32,95,-134,69,34.5,2.5
Chaetodon melapterus,Arabian butterflyfish,Chaetodon,Chaetodontidae,least_concern,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Chaetodon meyeri,Scrawled butterflyfish,Chaetodon,Chaetodontidae,least_concern,Coastal,30,-30,#VALUE!,NA,60,30,0
Chaetodon multicinctus,Pebbled butterflyfish,Chaetodon,Chaetodontidae,least_concern,Coastal,30,16,178,-154,14,7,23
Chaetodon ornatissimus,Ornate butterflyfish,Chaetodon,Chaetodontidae,least_concern,Coastal,30,-30,77,-124,60,30,0
Chaetodon tricinctus,Three-striped butterflyfish,Chaetodon,Chaetodontidae,least_concern,Coastal,-25,-33,#VALUE!,NA,8,4,-29
Chaetodon trifascialis,Chevron butterflyfish,Chaetodon,Chaetodontidae,near_threatened,Coastal,36,-30,30,-150,66,33,3
Chaetodon trifasciatus,Melon butterflyfish,Chaetodon,Chaetodontidae,least_concern,Coastal,30,-30,#VALUE!,NA,60,30,0
Champsocephalus gunnari,Mackerel icefish,Champsocephalus,Channichthyidae,not_evaluated,Pelagic,-48,-66,-65,77,18,9,-57
Cheilinus undulatus,Humphead wrasse,Cheilinus,Labridae,endangered,Coastal,30,-23,#VALUE!,NA,53,26.5,3.5
Cheilodipterus artus,Wolf cardinalfish,Cheilopdipterus,Apogonidae,not_evaluated,Coastal,30,-24,#VALUE!,NA,54,27,3
Chionodraco rastrospinosus,Ocellated icefish,Chionodraco,Channichthyidae,not_evaluated,Pelagic,-60,-67,-69,-43,7,3.5,-63.5
Chromis margaritifer,Bicolor chromis,Chromis,Pomacentridae,not_evaluated,Coastal,32,-32,96,-132,64,32,0
Chromis multilineata,Brown chromis,Chromis,Pomacentridae,least_concern,Coastal,30,-23,#VALUE!,NA,53,26.5,3.5
Chromis viridis,Blue green damselfish,Chromis,Pomacentridae,not_evaluated,Coastal,35,-35,#VALUE!,NA,70,35,0
Chrysiptera talboti,Talbot's demoiselle,Chrysiptera,Pomacentridae,not_evaluated,Coastal,21,-25,92,-173,46,23,-2
Chrysoblephus laticeps,Roman seabream,Chrysoblephus,Sparidae,near_threatened,Coastal,-21,-28,#VALUE!,NA,7,3.5,-24.5
Chrysoblephus puniceus,Slinger seabream,Chrysoblephus,Sparidae,least_concern,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Cirrhilabrus punctatus,Dotted wrasse,Cirrhilabrus,Labridae,least_concern,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Cleisthenes herzensteini,Pointhead flounder,Cleisthenes,Pleuronectidae,least_concern,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Clupea harengus,Atlantic herring,Clupea,Clupeidae,least_concern,Pelagic,80,33,-79,70,47,23.5,56.5
Clupea pallasii pallasii,Pacific herring,Clupea,Clupeidae,data_deficient,Coastal,77,33,34,-119,44,22,55
Collichthys lucidus,Big head croaker,Collichthys,Sciaenidae,least_concern,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Conger conger,European conger,Conger,Congridae,least_concern,Coastal,68,12,-32,42,56,28,40
Coris bulbifrons,Doubleheader,Coris,Labridae,vulnerable,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Coris julis,Mediterranean rainbow wrasse,Coris,Labridae,least_concern,Coastal,59,-1,-32,36,60,30,29
Coryphaena hippurus,Common dolphinfish,Coryphaena,Coryphaenidae,least_concern,Pelagic,47,-40,-180,180,87,43.5,3.5
Coryphaenoides armatus,Abyssal grenadier,Coryphaenoides,Macrouridae,least_concern,Pelagic,65,-61,-180,180,126,63,2
Coryphaenoides brevibarbis,Shortbeard grenadier,Coryphaenoides,Macrouridae,least_concern,Pelagic,65,-40,-70,-1,105,52.5,12.5
Coryphaenoides mediterraneus,Mediterranean grenadier,Coryphaenoides,Macrouridae,least_concern,Pelagic,67,18,-98,17,49,24.5,42.5
Crystallias matsushimae,,Crystallias,Liparidae,not_evaluated,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Ctenolabrus rupestris,Goldsinny-wrasse,Ctenolabrus,Labridae,least_concern,Coastal,64,30,-11,42,34,17,47
Cyclopterus lumpus,Lumpfish,Cyclopterus,Cyclopteridae,near_threatened,Pelagic,80,32,-95,49,48,24,56
Cymatogaster aggregata,Shiner perch,Cymatogaster,Embiotocidae,least_concern,Coastal,57,21,-137,-105,36,18,39
Cynoglossus semilaevis,Tongue sole,Cynoglossus,Cynoglossidae,data_deficient,Coastal,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Cynoscion arenarius,Sand weakfish,Cynoscion,Sciaenidae,least_concern,Coastal,30,18,-98,-80,12,6,24
